date,max_temp,min_temp,avg_temp
2026-02-20,11.6,5.6,8.6
2026-02-21,14.9,10.5,12.7
2026-02-22,13.4,10.8,12.100000000000001
2026-02-23,14.2,9.6,11.899999999999999
2026-02-24,16.9,9.8,13.35
2026-02-25,16.4,7.6,12.0
2026-02-26,12.4,9.6,11.0
